actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
0.28403193,-3.5059184e-05,19.893557,-0.0013587654,0.0048636026,0.00474067,5.593516,0.5121633,0.4821501,1.7600949,127.04153,6.9526834,126.499,0.99999994,0.17063627,-0.9999994,600,0.6947014,175,120.0,72,5,36.2712006969717,1275.6650094985962,834.8750653266907,419.09888792037964,5,293.97069379727606,0.13068163,174.31034482758622,2264.27201128006,1228.084549788771,574.4967265129089,29,411.76506248315195,730993.0,75.72935461997986,5000.0,2415.8750472068787,890001.0
0.28294268,-4.916723e-06,19.965542,-0.0013296818,0.0048149424,0.004723824,5.584298,0.39349562,0.36369008,1.7554805,127.04316,7.0079045,126.50854,0.9999999,0.12523887,-0.99999917,967,0.6842457,306,193.4,138,5,62.211253001366245,2281.018461227417,1412.5240715026855,1007.8152074813843,5,480.41284703747226,0.14349799,172.0344827586207,2626.990574836731,1197.6623999661413,730.6810746192932,29,419.11026758301966,731022.0,73.76678586006165,5000.0,2489.744862794876,895001.0
0.28558266,-8.785261e-05,20.027529,-0.0013992501,0.004942758,0.00480393,5.575709,0.22525291,0.1953861,1.7455871,127.11873,7.0236936,126.57826,0.99999976,0.15641451,-0.999999,809,0.6901187,220,161.8,134,5,32.956941605676946,1647.4057183265686,1180.7581847190856,968.275691986084,5,254.96679237324628,0.15364863,154.875,2268.837752342224,1084.7130530774593,526.2279648780823,32,432.6627935530064,731054.0,80.67141532897949,5000.0,2570.524611234665,900001.0
0.29186168,-5.325061e-05,20.122707,-0.0014161307,0.0050148997,0.004836991,5.56322,0.0662692,0.036258936,1.733125,127.25421,7.0707655,126.70641,0.99999964,0.13980563,-0.99999887,949,0.69030523,346,189.8,102,5,88.81531399482861,2639.303331375122,1416.556719303131,752.493079662323,5,696.6616078492234,0.15532038,159.625,2559.301652431488,1121.0231584906578,533.8758749961853,32,425.9911628486632,731086.0,76.66388583183289,5000.0,2647.303309440613,905001.0
0.29585302,-5.080504e-05,20.225176,-0.0014318556,0.0050803064,0.0048701353,5.540716,-0.12548195,-0.15542848,1.7164459,127.41839,7.1124406,126.860985,0.9999997,0.14277169,-0.99999976,897,0.69186217,325,179.4,84,5,81.95754998778331,2520.611563205719,1343.363724040985,657.2249436378479,5,643.541029817337,0.14286448,159.96774193548387,2117.2884726524353,1118.3811471692977,531.1699728965759,31,425.3151464450883,731117.0,75.20219469070435,5000.0,2722.6104810237885,910001.0
0.30153242,-5.8450485e-05,20.322748,-0.001450017,0.005184502,0.004904884,5.528529,-0.25076059,-0.28073537,1.6889609,127.3446,7.228106,126.7884,1.0,0.13196486,-0.99999964,974,0.6935814,476,194.8,33,5,152.73689796509552,3602.170320034027,1428.4095415115357,260.94234704971313,5,1163.9813766616899,0.14106579,165.43333333333334,2602.1847829818726,1151.930542786916,575.0839796066284,30,459.86125614413896,731147.0,76.17814517021179,5000.0,2798.8967792987823,915001.0
0.30479363,-5.106765e-05,20.400831,-0.0014452869,0.005232559,0.004913428,5.530569,-0.356921,-0.38697127,1.6824033,127.36903,7.2994633,126.807274,1.0,0.17768583,-0.9999998,636,0.69269097,165,127.2,85,5,25.786818338057916,1205.3498544692993,916.8590087890625,647.4301023483276,5,183.55871850612127,0.13938463,162.58064516129033,2840.9060888290405,1127.7229345690819,692.7753624916077,31,475.8035747376984,731178.0,73.64199185371399,5000.0,2872.6447269916534,920001.0
0.3092498,-7.961812e-05,20.51391,-0.001484008,0.0053368653,0.0049713724,5.5149655,-0.5261695,-0.55639553,1.6671457,127.541016,7.4860935,126.96466,1.0,0.17098194,-0.99999857,599,0.69523597,176,119.8,9,5,59.78427886995042,1292.9816355705261,864.6945106506348,60.87425661087036,5,441.7370135470349,0.15633085,145.23529411764707,1749.1173272132874,1005.2805220800287,572.3516149520874,34,270.8076574512787,731212.0,75.16769528388977,5000.0,2947.9194865226746,925001.0
0.31611434,-6.493267e-05,20.619081,-0.0014516205,0.0054388763,0.004956864,5.504446,-0.65214944,-0.6824505,1.6540436,127.44236,7.621947,126.87111,0.99999994,0.16243374,-0.99999976,604,0.696612,183,120.8,72,5,40.27604747241219,1179.131287574768,831.7414993286133,530.1081857681274,5,247.74590242616318,0.14240731,155.75,1789.69912815094,1084.4814028441906,590.6756067276001,32,345.44279454749795,731244.0,75.719975233078,5000.0,3023.745368242264,930001.0
0.32289368,-0.00012779621,20.706787,-0.0014644506,0.005616989,0.0049846037,5.4941635,-0.8214797,-0.85182893,1.6566606,127.37273,7.6757545,126.81661,1.0,0.13098678,-0.99999994,1079,0.6930085,484,215.8,113,5,137.1399285401593,3571.596356868744,1573.003164768219,771.3666424751282,5,1022.2820061785858,0.14120477,159.1875,2119.3377170562744,1113.3335361480713,619.7426271438599,32,376.1130880729792,731276.0,76.86469030380249,5000.0,3100.7179186344147,935001.0
