actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
0.00030367047,6.8277893e-07,26.777657,-0.001095027,4.4796197e-06,0.005647229,12.6580515,31.685093,31.677488,1.7781793,86.33749,1.4117088,86.8135,0.999997,0.09994914,-0.9999908,117,0.7372731,117,117.0,117,1,0.0,700.5848941802979,700.5848941802979,700.5848941802979,1,0.0,0.112671085,92.5,822.248279094696,526.451848462776,323.4365692138672,54,108.11069485200494,1657.0,89.9519636631012,5000.0,2320.6397426128387,130000.0
0.00024343457,3.8738088e-07,27.052303,-0.001068445,3.7510072e-06,0.0056673363,12.635594,31.628132,31.62025,1.7876258,86.64269,1.4732183,87.11202,0.9999973,-0.00019309501,-0.9999356,14,0.8204508,14,14.0,14,1,0.0,96.79900693893433,96.79900693893433,96.79900693893433,1,0.0,0.1259835,92.86792452830188,843.6286716461182,517.6161108016968,321.8520760536194,53,103.0594478663629,1710.0,87.43433117866516,5000.0,2408.185339450836,135000.0
0.00019059393,4.1689873e-07,27.292374,-0.00103981,2.8231977e-06,0.0056795133,12.617954,31.582853,31.574932,1.7851782,86.83323,1.5343463,87.304665,0.99999976,0.07236893,-0.9999866,106,0.7476473,106,106.0,106,1,0.0,625.0675649642944,625.0675649642944,625.0675649642944,1,0.0,0.112482734,95.73584905660377,937.3102464675903,541.4726744417874,297.6166367530823,53,112.15714260838492,1763.0,90.28799891471863,5000.0,2498.5938713550568,140000.0
0.0001397159,3.4050356e-07,27.524073,-0.0010432273,2.0346667e-06,0.0057223197,12.598449,31.532362,31.52426,1.7819238,87.131424,1.6304978,87.59743,0.99994785,0.16851154,-0.99936736,125,0.69918275,125,125.0,125,1,0.0,664.122941493988,664.122941493988,664.122941493988,1,0.0,0.09743182,92.31481481481481,895.1753640174866,524.7314819892248,340.60965299606323,54,101.5346256007204,1817.0,89.75095796585083,5000.0,2588.4569866657257,145000.0
0.00010142616,2.2775804e-07,27.734661,-0.0010358165,1.4964869e-06,0.0057507087,12.577773,31.490072,31.481863,1.7854949,87.319084,1.6568708,87.78279,0.9999991,0.058098763,-0.9999413,60,0.7943263,60,60.0,60,1,0.0,381.8911385536194,381.8911385536194,381.8911385536194,1,0.0,0.10673729,95.92307692307692,808.3531765937805,541.4650594362846,382.5192332267761,52,88.58619604904803,1869.0,86.53321528434753,5000.0,2675.1108224391937,150000.0
7.6500146e-05,2.0472761e-07,27.89777,-0.0009730591,1.0957749e-06,0.0057156794,12.561832,31.45095,31.442694,1.771357,87.50557,1.6917293,87.97641,0.99999803,0.2847992,-0.99945724,48,0.70518094,48,48.0,48,1,0.0,211.76467657089233,211.76467657089233,211.76467657089233,1,0.0,0.10064961,95.8076923076923,856.0408754348755,541.4360282375262,349.38949728012085,52,93.98816349202271,1921.0,90.05958604812622,5000.0,2765.2893023490906,155000.0
4.99993e-05,1.8412567e-07,28.049118,-0.00096641295,6.658624e-07,0.005734762,12.553904,31.411938,31.403645,1.758623,87.692665,1.7078832,88.1739,0.999989,0.26566467,-0.999884,12,0.77510226,12,12.0,12,1,0.0,71.53239917755127,71.53239917755127,71.53239917755127,1,0.0,0.11062958,99.64,1401.8716282844543,562.1735274076461,294.57440853118896,50,180.7350857511897,1971.0,89.72136402130127,5000.0,2855.148452758789,160000.0
3.249077e-05,1.1691822e-07,28.182653,-0.0009353899,4.3542488e-07,0.005726441,12.547339,31.378725,31.37015,1.7516806,87.875786,1.7532723,88.36798,0.9999999,-0.009612141,-0.999995,29,0.79694426,29,29.0,29,1,0.0,183.23945140838623,183.23945140838623,183.23945140838623,1,0.0,0.11147977,100.08,954.531795501709,564.3501574802399,259.3034682273865,50,120.50692066511188,2021.0,91.21905994415283,5000.0,2946.5032618045807,165000.0
2.1419892e-05,9.601906e-08,28.297194,-0.00093049096,2.6811915e-07,0.005741014,12.536108,31.344288,31.335743,1.7480212,88.08513,1.8613437,88.5837,1.0,0.22820915,-0.9996434,122,0.7062456,122,122.0,122,1,0.0,590.410252571106,590.410252571106,590.410252571106,1,0.0,0.11454481,105.4375,1004.451150894165,597.6500907093287,238.38403511047363,48,149.73350942316188,2069.0,92.58297300338745,5000.0,3039.198590517044,170000.0
1.3268579e-05,6.7666e-08,28.406332,-0.0009262463,1.5789985e-07,0.0057553225,12.524992,31.3046,31.295868,1.742029,88.26232,1.8619719,88.77041,0.9999982,0.03705083,-0.9999808,18,0.8157727,18,18.0,18,1,0.0,109.42848205566406,109.42848205566406,109.42848205566406,1,0.0,0.10281008,95.03846153846153,837.8989667892456,542.6316734185585,299.27606105804443,52,117.59108077533139,2121.0,90.05630278587341,5000.0,3129.3908088207245,175000.0
9.173285e-06,5.1480473e-08,28.499771,-0.0009255617,1.04465386e-07,0.005770522,12.510111,31.284344,31.275541,1.7215732,88.48481,1.9435399,88.9995,0.9999991,0.1355722,-0.9999052,101,0.77379894,101,101.0,101,1,0.0,569.0293827056885,569.0293827056885,569.0293827056885,1,0.0,0.11034253,97.28846153846153,820.3773818016052,555.7063992298566,351.7662811279297,52,120.73129585645928,2173.0,91.23606991767883,5000.0,3220.7369532585144,180000.0
6.4336186e-06,4.339269e-08,28.588205,-0.00088614196,6.5978824e-08,0.0057461364,12.499151,31.25315,31.244293,1.7120235,88.53802,1.9405285,89.06181,0.99999875,-0.045315593,-0.9999715,41,0.8265871,41,41.0,41,1,0.0,284.72033977508545,284.72033977508545,284.72033977508545,1,0.0,0.13695249,100.57142857142857,888.35693359375,559.0209140680274,377.4114637374878,49,95.70178083627819,2222.0,97.55517435073853,5000.0,3318.409348011017,185000.0
4.805582e-06,3.659542e-08,28.633396,-0.00085050316,4.509948e-08,0.005718181,12.489036,31.22273,31.21385,1.6975082,88.69755,1.9197719,89.22971,0.9999965,0.29457292,-0.9951674,28,0.7516445,28,28.0,28,1,0.0,119.42010760307312,119.42010760307312,119.42010760307312,1,0.0,0.11223932,96.6470588235294,1148.7327914237976,552.8512450760486,385.58686923980713,51,122.01857251997562,2273.0,90.25491261482239,5000.0,3408.7803132534027,190000.0
3.851884e-06,3.28098e-08,28.668692,-0.0008400018,3.267222e-08,0.0057136794,12.473672,31.196095,31.186972,1.6871094,88.864426,1.9788063,89.40195,0.99999815,0.24992707,-0.993974,9,0.7576609,9,9.0,9,1,0.0,43.432090282440186,43.432090282440186,43.432090282440186,1,0.0,0.11430858,105.14583333333333,1419.5834097862244,597.0684439490238,348.44040727615356,48,171.62202022369829,2321.0,91.3253562450409,5000.0,3500.2251114845276,195000.0
